TransactionId,CustId,TransactionType,TransactionAmount
149000001,81419,debit,18977
150000001,77944,debit,11436
151000001,58672,credit,43300
152000001,63669,debit,28192
153000001,97508,debit,18142
154000001,26789,debit,19574
155000001,34990,credit,22851
156000001,62728,credit,9609
157000001,89994,credit,11107
158000001,87356,debit,19835
159000001,52092,credit,7438
160000001,75243,debit,13569
161000001,8068,credit,18457
162000001,57787,credit,16351
163000001,39445,debit,15548
164000001,46410,debit,11626
165000001,14690,credit,182
166000001,94514,credit,5580
167000001,85209,debit,7267
168000001,13454,credit,10219
169000001,1080,debit,37632
170000001,83272,credit,13418
171000001,30686,credit,16997
172000001,4453,credit,1829
173000001,8778,debit,23845
174000001,132,credit,27827
175000001,87543,credit,14096
176000001,60083,credit,45414
177000001,72365,credit,42207
178000001,56033,credit,48047
179000001,52629,credit,36696
180000001,58299,credit,33010
181000001,19772,credit,11557
182000001,45105,debit,23523
183000001,88663,debit,48751
184000001,71833,debit,25345
185000001,60895,credit,39951
186000001,53594,credit,28970
187000001,82745,credit,7265
188000001,14649,credit,9381
189000001,29257,debit,42437
190000001,46647,credit,7468
191000001,7318,credit,18972
192000001,93772,credit,11059
193000001,60672,debit,31827
194000001,72487,debit,36859
195000001,32379,debit,21890
196000001,1991,debit,12867
197000001,88615,credit,49942
198000001,73238,debit,25346
199000001,2330,debit,19470
200000001,26460,credit,22876
201000001,3951,credit,47967
202000001,36469,debit,3673
203000001,28158,credit,5818
204000001,42121,credit,2797
205000001,54990,debit,30108
206000001,33069,credit,19658
207000001,95243,debit,46798
208000001,50811,credit,43789
209000001,89931,debit,43142
210000001,7967,credit,19487
211000001,95955,debit,17688
212000001,74860,debit,8820
213000001,26613,debit,42020
214000001,63990,credit,48925
215000001,49483,debit,44444
216000001,40610,debit,9432
217000001,51589,debit,36402
218000001,48931,debit,45181
219000001,20295,credit,44276
220000001,98162,credit,34643
221000001,71894,credit,16422
222000001,34410,debit,40159
223000001,77062,debit,21467
224000001,52150,debit,42909
225000001,15089,credit,15943
226000001,9648,debit,7937
227000001,68069,credit,27509
228000001,51097,debit,48788
229000001,66980,debit,21759
230000001,96173,credit,167
231000001,73311,debit,26649
232000001,4933,credit,41919
233000001,57955,debit,48266
234000001,68506,debit,43192
235000001,48707,credit,16533
236000001,80293,debit,39605
237000001,64949,credit,23727
238000001,58100,credit,40190
239000001,99837,credit,42262
240000001,5652,credit,49940
241000001,79294,credit,40357
242000001,10403,debit,46923
243000001,94525,debit,46464
244000001,65539,debit,4763
245000001,88703,credit,17407
246000001,75457,debit,40827
247000001,91427,debit,36441
248000001,17810,debit,49353
249000001,33404,credit,16174
250000001,70135,credit,4521
251000001,43799,credit,9430
252000001,21692,credit,32276
253000001,63175,debit,38936
254000001,84050,credit,37003
255000001,27913,debit,44913
256000001,14346,credit,12567
257000001,81078,debit,45694
258000001,34496,credit,39426
259000001,50755,debit,18039
260000001,75173,debit,43145
261000001,71204,credit,1562
262000001,38613,credit,26479
263000001,2742,debit,47904
264000001,48022,credit,49537
265000001,84716,credit,38898
266000001,11359,credit,20037
267000001,60873,credit,35025
268000001,50798,debit,31557
269000001,48548,credit,35566
270000001,67120,credit,9494
271000001,47821,debit,19790
272000001,67498,debit,24241
273000001,2982,credit,38081
274000001,88379,debit,30638
275000001,11901,debit,36975
276000001,85285,credit,49072
277000001,24872,debit,39994
278000001,96556,debit,29764
279000001,25869,credit,3285
280000001,19996,debit,3025
281000001,3432,debit,30780
282000001,49974,debit,41375
283000001,26996,credit,13705
284000001,92424,credit,44473
285000001,42935,debit,6231
286000001,64373,credit,21254
287000001,72379,credit,11677
288000001,64136,debit,49017
289000001,76996,credit,45703
290000001,73057,credit,38161
291000001,22429,debit,7048
292000001,74175,debit,42458
293000001,70132,debit,6052
294000001,82622,credit,7543
295000001,95701,debit,20718
296000001,36574,credit,26336
297000001,32591,debit,41783
298000001,73638,debit,23888
299000001,26185,debit,8253
300000001,8537,debit,47959
301000001,23095,credit,21802
302000001,16026,debit,2089
303000001,2607,debit,35364
304000001,50759,credit,7271
305000001,34610,debit,49682
306000001,41502,credit,14839
307000001,58675,debit,49712
308000001,72930,credit,18675
309000001,68130,debit,29905
310000001,1539,debit,32664
311000001,78237,debit,3362
312000001,65200,debit,21919
313000001,71864,debit,48803
314000001,68188,credit,16418
315000001,12872,debit,32050
316000001,88588,debit,807
317000001,36456,credit,49264
318000001,3947,credit,19758
319000001,27874,credit,30574
320000001,63621,debit,17419
321000001,34241,credit,25746
322000001,39733,debit,1509
323000001,44534,credit,45850
324000001,6336,credit,6978
325000001,40911,credit,39875
326000001,59228,credit,13341
327000001,76523,credit,39973
328000001,92638,debit,43625
329000001,77231,credit,48609
330000001,10829,debit,15710
331000001,19577,debit,4143
332000001,78271,credit,37359
333000001,71158,debit,17671
334000001,80475,credit,7906
335000001,46854,credit,46106
336000001,74423,credit,13219
337000001,27615,debit,47169
338000001,93406,debit,38859
339000001,27628,debit,6456
340000001,64968,debit,42953
341000001,12323,debit,9607
342000001,97751,credit,13507
343000001,83882,credit,20829
344000001,15546,debit,3479
345000001,28842,debit,7001
346000001,45005,credit,39754
347000001,18808,credit,2974
348000001,45824,debit,22221
349000001,43915,credit,12973
350000001,96184,debit,29892
351000001,25119,credit,35894
352000001,54962,debit,35196
353000001,42691,debit,23173
354000001,54731,debit,23996
355000001,19462,debit,37195
356000001,77614,debit,6352
357000001,74421,debit,49533
358000001,48700,debit,38145
359000001,86438,debit,49252
360000001,76100,debit,21803
361000001,49084,debit,7979
362000001,43371,credit,3606
363000001,79386,credit,31985
364000001,20778,credit,49536
365000001,95483,debit,36023
366000001,16030,debit,9096
367000001,81526,debit,49540
368000001,10790,debit,40064
369000001,16058,debit,36011
370000001,26507,credit,16027
371000001,72741,credit,494
372000001,89746,credit,32466
373000001,74326,debit,47068
374000001,71520,debit,24299
375000001,11283,credit,22380
376000001,71109,credit,8699
377000001,18430,debit,1853
378000001,80434,credit,17110
379000001,30184,credit,13420
380000001,63090,credit,45445
381000001,28145,debit,32555
382000001,53311,debit,29549
383000001,44880,debit,37597
384000001,82991,credit,45801
385000001,95833,credit,37780
386000001,13017,debit,47935
387000001,29785,credit,45026
388000001,65608,credit,8488
389000001,59854,credit,4005
390000001,16925,debit,28088
391000001,638,credit,28513
392000001,7842,credit,41050
393000001,89638,debit,21144
394000001,26879,credit,2337
395000001,74721,debit,45567
396000001,24448,debit,12073
397000001,45586,debit,060
398000001,62076,credit,29452
399000001,75242,credit,3175
400000001,74610,credit,21020
401000001,87507,debit,35948
402000001,67809,debit,24784
403000001,72743,debit,29885
404000001,43151,credit,32333
405000001,17873,credit,36606
406000001,49363,debit,32720
407000001,65198,debit,15704
408000001,19209,credit,44854
409000001,79969,credit,27817
410000001,1757,debit,13957
411000001,74127,debit,48824
412000001,1460,debit,13309
413000001,59722,credit,7590
414000001,609,debit,46864
415000001,51424,credit,2583
416000001,35575,debit,30594
417000001,99990,credit,16927
418000001,42742,credit,12110
419000001,32563,credit,30021
420000001,13970,debit,18404
421000001,38487,debit,37182
422000001,37794,credit,23753
423000001,80289,debit,28749
424000001,69504,credit,18496
425000001,92943,debit,10809
426000001,16234,credit,32495
427000001,51528,credit,42723
428000001,67961,credit,34993
429000001,93549,debit,20364
430000001,57790,credit,33107
431000001,4770,debit,23421
432000001,30967,credit,39721
433000001,33184,credit,12615
434000001,6185,debit,9996
435000001,27372,debit,46446
436000001,24852,credit,21344
437000001,21192,debit,11529
438000001,23887,debit,32124
439000001,22497,debit,24613
440000001,12900,debit,9763
441000001,85225,credit,14817
442000001,38048,credit,40558
443000001,32020,debit,6312
444000001,84582,debit,24242
445000001,84510,debit,15106
446000001,28728,debit,15216
447000001,5818,debit,33491
448000001,88658,credit,28572
449000001,93106,debit,49900
450000001,1500,debit,1530
451000001,19573,debit,1796
452000001,57707,credit,48364
453000001,66311,debit,41212
454000001,21488,debit,23841
455000001,51158,debit,2095
456000001,92902,credit,47508
457000001,24795,debit,19228
458000001,13871,debit,17582
459000001,41692,debit,22843
460000001,28394,debit,3285
461000001,61727,credit,8146
462000001,69258,debit,9975
463000001,46050,credit,27605
464000001,9816,credit,6297
465000001,72910,debit,16572
466000001,84902,credit,33045
467000001,70114,debit,31864
468000001,94245,debit,5872
469000001,48864,debit,34226
470000001,44295,debit,32028
471000001,52761,credit,36688
472000001,36824,credit,49709
473000001,39619,debit,46710
474000001,28646,credit,33626
475000001,45489,debit,42091
476000001,80383,debit,27515
477000001,57994,debit,21394
478000001,96617,debit,41600
479000001,13521,debit,45941
480000001,10436,debit,45858
481000001,48623,credit,45040
482000001,56042,credit,9875
483000001,19959,debit,38355
484000001,61664,credit,22668
485000001,830,debit,12514
486000001,53788,debit,1435
487000001,91900,debit,32392
488000001,50055,debit,14938
489000001,47239,debit,2041
490000001,31574,debit,9961
491000001,62710,debit,26483
492000001,1169,debit,40976
493000001,99555,debit,47373
494000001,68778,credit,9461
495000001,36502,credit,23164
496000001,10816,credit,5509
497000001,68540,credit,25060
498000001,2851,debit,34623
499000001,35111,debit,36009
500000001,26576,debit,27138
501000001,34978,credit,28023
502000001,6677,credit,20308
503000001,4790,debit,25038
504000001,612,credit,17376
505000001,42605,credit,16621
506000001,15153,debit,3091
507000001,67282,debit,1664
508000001,85986,credit,32361
509000001,94649,credit,23527
510000001,69432,debit,6810
511000001,54183,debit,11069
512000001,23065,debit,23953
513000001,63790,debit,43566
514000001,2376,debit,500
515000001,89274,debit,8861
516000001,92261,debit,33374
517000001,63900,debit,33714
518000001,1088,debit,39597
519000001,96816,debit,38820
520000001,85737,credit,39383
521000001,23096,credit,45177
522000001,49331,credit,42118
523000001,65632,credit,10588
524000001,57462,debit,49135
525000001,43179,credit,7704
526000001,6920,credit,8561
527000001,87974,credit,47182
528000001,32556,debit,6085
529000001,31380,credit,11842
530000001,79506,credit,16183
531000001,18765,credit,8729
532000001,28012,debit,35094
533000001,88505,credit,45236
534000001,85222,credit,18604
535000001,6142,credit,579
536000001,32173,debit,14997
537000001,17714,debit,15637
538000001,22615,credit,5708
539000001,59400,debit,28752
540000001,18265,credit,12163
541000001,53135,debit,15159
542000001,5461,debit,3601
543000001,14368,credit,39820
544000001,99857,debit,4287
545000001,93798,debit,47446
546000001,22989,debit,22447
547000001,41570,credit,10948
548000001,53132,credit,39224
549000001,10204,debit,23375
550000001,25378,credit,16296
551000001,60938,debit,9826
552000001,51904,debit,30213
553000001,81097,debit,21649
554000001,88875,debit,24351
555000001,21088,debit,27997
556000001,9191,credit,15169
557000001,75607,credit,8926
558000001,4261,credit,27871
559000001,71226,debit,13802
560000001,91069,debit,18416
561000001,75162,credit,24297
562000001,15749,credit,10673
563000001,87887,debit,18178
564000001,42623,credit,40642
565000001,89257,credit,11522
566000001,31560,debit,22102
567000001,31854,credit,45501
568000001,6516,credit,11445
569000001,71949,debit,3687
570000001,22798,credit,43182
571000001,79452,debit,45749
572000001,54361,credit,2828
573000001,56382,debit,29942
574000001,70086,debit,5732
575000001,16618,debit,48178
576000001,28447,debit,30468
577000001,43752,debit,13789
578000001,99188,credit,23543
579000001,14679,debit,22598
580000001,39945,credit,10178
581000001,35506,debit,35334
582000001,72624,debit,29758
583000001,49962,credit,5777
584000001,36179,credit,45415
585000001,88806,credit,18508
586000001,24588,debit,7836
587000001,48273,credit,8167
588000001,11475,debit,31496
589000001,34934,debit,46132
590000001,29410,credit,48729
591000001,42524,debit,8254
592000001,1266,debit,13046
593000001,74074,credit,140
594000001,74163,credit,25117
595000001,92975,credit,39421
596000001,1855,credit,4412
597000001,34142,debit,9405
598000001,43148,credit,24935
599000001,69027,debit,40836
600000001,99970,credit,35477
601000001,4133,credit,30795
602000001,44025,credit,48878
603000001,73746,debit,18497
604000001,13023,credit,47041
605000001,6402,debit,2028
606000001,19583,debit,3584
607000001,79257,debit,4597
608000001,85265,credit,47806
609000001,1638,credit,45209
610000001,8006,debit,22734
611000001,30712,credit,10323
612000001,88146,debit,24771
613000001,46516,credit,17032
614000001,91986,debit,17230
615000001,76780,debit,36757
616000001,88152,debit,42805
617000001,67138,credit,6890
618000001,14938,credit,10325
619000001,8656,debit,8768
620000001,32053,credit,701
621000001,84332,credit,9926
622000001,35675,credit,19177
623000001,12687,credit,47688
624000001,54661,debit,28694
625000001,68999,credit,29865
626000001,75473,debit,43459
627000001,24793,debit,20104
628000001,30201,credit,5277
629000001,99854,credit,16089
630000001,29899,debit,44988
631000001,99614,debit,44077
632000001,58293,credit,9686
633000001,31778,debit,49243
634000001,6039,debit,5499
635000001,46753,debit,5323
636000001,36476,credit,26792
637000001,97242,credit,7173
638000001,18351,credit,36120
639000001,60988,debit,19208
640000001,95996,credit,11409
641000001,26584,credit,9108
642000001,22192,credit,48499
643000001,5901,credit,4368
644000001,18246,credit,37241
645000001,85401,debit,16739
646000001,72314,credit,44616
647000001,82598,debit,1168
648000001,53503,credit,15614
649000001,18009,credit,17847
650000001,74110,debit,16355
651000001,51851,debit,9792
652000001,76927,debit,44011
653000001,95292,debit,9599
654000001,93251,debit,2809
655000001,72992,credit,237
656000001,78490,credit,24969
657000001,10770,debit,41080
658000001,57668,credit,34067
659000001,87627,credit,24044
660000001,38380,debit,46864
661000001,58334,debit,45611
662000001,96476,credit,19037
663000001,77599,credit,20757
664000001,31867,debit,19369
665000001,79907,debit,29394
666000001,81214,debit,14872
667000001,95488,credit,49163
668000001,79384,debit,33509
669000001,78077,credit,46493
670000001,3192,debit,11763
671000001,58370,credit,17059
672000001,84883,credit,13246
673000001,75299,debit,49874
674000001,61130,credit,47084
675000001,86311,debit,41712
676000001,4884,debit,18113
677000001,70950,credit,23943
678000001,42564,debit,44652
679000001,37064,debit,28165
680000001,95238,debit,8097
681000001,15403,credit,47549
682000001,10648,credit,39397
683000001,45550,debit,43729
684000001,68674,debit,46358
685000001,95812,credit,12551
686000001,53309,debit,28706
687000001,95770,credit,48347
688000001,16179,debit,8360
689000001,44048,credit,47731
690000001,57352,credit,41246
691000001,62590,credit,43720
692000001,86492,debit,47554
693000001,43868,debit,39373
694000001,4990,credit,15961
695000001,22603,credit,3954
696000001,11772,credit,41277
697000001,47727,credit,23142
698000001,87249,debit,29724
699000001,99007,credit,26305
700000001,6374,debit,16836
701000001,10009,credit,42463
702000001,41183,debit,38095
703000001,59848,debit,22872
704000001,95053,credit,15085
705000001,89717,debit,6422
706000001,94113,debit,35624
707000001,11004,debit,37452
708000001,64159,credit,19882
709000001,45333,credit,1722
710000001,48463,debit,24927
711000001,91249,credit,4699
712000001,86961,credit,8965
713000001,57524,debit,8397
714000001,31008,debit,27440
715000001,71257,credit,14407
716000001,32433,credit,15043
717000001,47682,debit,17297
718000001,16084,credit,45844
719000001,94406,debit,8270
720000001,24876,debit,45483
721000001,26740,debit,37971
722000001,40546,credit,13729
723000001,45825,debit,3490
724000001,63426,credit,4193
725000001,42626,debit,39072
726000001,96776,credit,22792
727000001,94005,debit,46892
728000001,73164,credit,7461
729000001,17229,debit,33677
730000001,45129,credit,46066
731000001,60435,debit,40178
732000001,73514,debit,33239
733000001,88629,debit,306
734000001,39368,credit,41080
735000001,82927,credit,14557
736000001,91883,credit,8613
737000001,58919,credit,32498
738000001,37130,credit,29459
739000001,38058,debit,4532
740000001,36367,credit,30636
741000001,5785,debit,6531
742000001,250,debit,19927
743000001,87476,debit,4177
744000001,68429,debit,27122
745000001,43064,credit,34715
746000001,70325,debit,44730
747000001,7508,credit,7069
748000001,97650,credit,23975
749000001,48430,credit,22563
750000001,18995,debit,48485
751000001,3630,debit,45675
752000001,73315,debit,13213
753000001,15011,credit,6918
754000001,21619,credit,22293
755000001,84654,credit,1271
756000001,49978,debit,44226
757000001,96210,credit,26671
758000001,67574,credit,16915
759000001,53537,debit,26692
760000001,6986,credit,41349
761000001,76921,credit,21985
762000001,53036,debit,2218
763000001,28309,credit,24305
764000001,28495,debit,22399
765000001,74569,credit,30672
766000001,65338,credit,34876
767000001,16140,credit,33002
768000001,59592,credit,15324
769000001,36357,debit,3807
770000001,46537,debit,32673
771000001,85890,credit,48450
772000001,17295,credit,19178
773000001,61851,debit,6905
774000001,68888,debit,8919
775000001,97881,credit,39474
776000001,15312,credit,7548
777000001,89249,credit,46937
778000001,75721,credit,2740
779000001,64478,credit,9195
780000001,94757,debit,36310
781000001,12718,credit,22370
782000001,72620,credit,25971
783000001,49951,credit,11609
784000001,86464,credit,30929
785000001,8933,credit,23248
786000001,82426,debit,4855
787000001,36160,credit,7981
788000001,38034,debit,35345
789000001,39306,credit,4181
790000001,30054,credit,23239
791000001,79709,debit,16823
792000001,37219,credit,426
793000001,4484,debit,26204
794000001,39953,credit,46329
795000001,77897,debit,25393
796000001,95589,debit,15353
797000001,37192,credit,277
798000001,76090,credit,12058
799000001,8586,debit,42580
800000001,73562,debit,15743
801000001,11118,credit,3343
802000001,34718,credit,22040
803000001,90257,credit,35179
804000001,77674,debit,2168
805000001,33550,debit,37991
806000001,85295,debit,27703
807000001,83475,credit,48588
808000001,80477,credit,24259
809000001,33249,debit,39693
810000001,67798,credit,15914
811000001,92150,debit,8073
812000001,22911,credit,15096
813000001,7520,credit,2108
814000001,72155,credit,7789
815000001,73556,debit,8898
816000001,55774,debit,34878
817000001,12303,credit,19555
818000001,27540,credit,6165
819000001,68509,debit,5882
820000001,55452,credit,26061
821000001,85364,credit,15767
822000001,44703,credit,34567
823000001,21043,credit,44612
824000001,79390,credit,31291
825000001,75101,debit,47431
826000001,57272,credit,6393
827000001,68495,credit,11006
828000001,991,debit,42371
829000001,15220,credit,48247
830000001,161,debit,43728
831000001,3243,debit,14542
832000001,16169,credit,5525
833000001,87332,debit,25373
834000001,99307,credit,2605
835000001,96542,credit,20139
836000001,65263,debit,35644
837000001,48236,debit,7495
838000001,57011,credit,36519
839000001,90420,debit,37915
840000001,61157,debit,15278
841000001,17310,debit,24817
842000001,17293,debit,2442
843000001,1644,credit,44828
844000001,27087,debit,39833
845000001,29993,debit,15736
846000001,24839,debit,33805
847000001,92432,credit,43631
848000001,66427,credit,44886
849000001,9001,debit,24443
850000001,94880,credit,19092
851000001,35305,credit,23496
852000001,16271,credit,27244
853000001,61257,credit,19800
854000001,12082,debit,16684
855000001,64309,credit,48380
856000001,43228,credit,49813
857000001,41533,debit,40691
858000001,42089,credit,1492
859000001,66998,credit,36281
860000001,16740,credit,8504
861000001,49204,credit,35421
862000001,13037,debit,14923
863000001,34689,debit,35044
864000001,28703,credit,25681
865000001,79764,credit,21068
866000001,2303,debit,41338
867000001,31449,credit,30985
868000001,36776,debit,23119
869000001,61052,debit,9990
870000001,28058,debit,28644
871000001,90424,debit,22243
872000001,78126,debit,42587
873000001,42973,debit,37496
874000001,86256,debit,16310
875000001,4404,credit,27105
876000001,92240,debit,10737
877000001,53982,debit,37797
878000001,33296,debit,25605
879000001,52048,debit,18393
880000001,26591,credit,22358
881000001,31987,debit,46350
882000001,19535,debit,25895
883000001,32123,debit,3046
884000001,39395,credit,2743
885000001,83243,credit,18707
886000001,91511,credit,28801
887000001,81328,credit,38326
888000001,60556,credit,1711
889000001,28720,debit,47464
890000001,67183,credit,27660
891000001,55714,debit,36511
892000001,69095,credit,254
893000001,5559,credit,46434
894000001,11073,credit,17489
895000001,33183,credit,38836
896000001,99653,credit,33840
897000001,75357,debit,43930
898000001,53259,credit,44904
899000001,5717,credit,20702
900000001,91623,debit,35899
901000001,90421,credit,28996
902000001,92127,credit,44158
903000001,73622,credit,6818
904000001,78740,credit,49359
905000001,95388,debit,21995
906000001,67490,debit,14943
907000001,35661,debit,27698
908000001,82305,debit,27501
909000001,86991,debit,32095
910000001,71161,credit,37777
911000001,96736,credit,47474
912000001,23029,credit,2742
913000001,58006,credit,22507
914000001,73409,debit,14919
915000001,9609,debit,46611
916000001,13133,debit,13919
917000001,18472,credit,35390
918000001,45026,credit,12958
919000001,88622,credit,16503
920000001,37353,debit,11322
921000001,39898,credit,15253
922000001,29767,debit,23078
923000001,3783,debit,17944
924000001,19311,debit,46601
925000001,89301,debit,48614
926000001,80508,credit,16277
927000001,79348,credit,35306
928000001,64905,debit,33399
929000001,41392,debit,18780
930000001,71166,credit,18547
931000001,42812,debit,37249
932000001,85605,debit,15302
933000001,78695,credit,244
934000001,53675,debit,6273
935000001,95170,credit,34958
936000001,62165,credit,47532
937000001,89440,debit,14575
938000001,9624,debit,9555
939000001,19235,credit,30328
940000001,46165,credit,28060
941000001,45731,credit,18196
942000001,50156,credit,1595
943000001,85565,credit,23931
944000001,96340,debit,21224
945000001,53356,credit,31243
946000001,42401,credit,45163
947000001,40735,credit,11746
948000001,81042,credit,18013
949000001,98239,credit,29007
950000001,35332,debit,35761
951000001,85629,debit,49885
952000001,71546,debit,14305
953000001,84934,credit,42183
954000001,91661,credit,33409
955000001,39598,credit,27753
956000001,4887,credit,284
957000001,52931,debit,9040
958000001,79018,credit,24467
959000001,43507,debit,29199
960000001,57428,credit,24701
961000001,77043,debit,32689
962000001,61993,credit,8192
963000001,30147,credit,45799
964000001,3975,credit,32993
965000001,80124,credit,16835
966000001,47944,credit,43575
967000001,3345,debit,31097
968000001,42541,debit,3006
969000001,84537,debit,38953
970000001,86662,debit,36836
971000001,91201,debit,19791
972000001,7555,credit,27059
973000001,4887,debit,930
974000001,7464,credit,40618
975000001,17419,debit,25700
976000001,62124,debit,40407
977000001,18065,debit,1859
978000001,4078,credit,15366
979000001,63458,credit,17585
980000001,13657,debit,36479
981000001,10290,debit,47516
982000001,53454,debit,49445
983000001,80554,credit,1595
984000001,33916,debit,26124
985000001,6125,credit,21390
986000001,56289,debit,27779
987000001,3323,credit,21903
988000001,32060,debit,49106
989000001,94802,credit,22823
990000001,96959,debit,6651
991000001,60007,credit,14445
992000001,62958,debit,38975
993000001,42132,credit,23788
994000001,4319,credit,17867
995000001,18597,credit,48467
996000001,84320,credit,8173
997000001,15983,credit,4633
998000001,71867,debit,11977
999000001,84651,credit,12658
1000000001,10022,credit,39243
1001000001,87019,debit,45494
1002000001,44728,credit,41219
1003000001,27509,credit,8581
1004000001,25524,debit,46844
1005000001,27190,debit,2766
1006000001,88420,debit,8151
1007000001,90926,debit,14492
1008000001,81872,credit,18084
1009000001,23377,debit,7619
1010000001,34137,debit,4969
1011000001,38022,debit,33581
1012000001,67205,debit,3886
1013000001,5719,credit,42406
1014000001,67625,credit,39940
1015000001,24477,debit,4237
1016000001,32680,debit,44886
1017000001,18558,credit,31105
1018000001,75212,debit,20059
1019000001,8851,debit,15982
1020000001,83680,credit,12447
1021000001,49055,debit,29301
1022000001,54734,debit,42494
1023000001,90050,credit,27814
1024000001,67580,debit,48093
1025000001,51364,debit,43964
1026000001,73719,credit,36115
1027000001,72959,credit,25616
1028000001,30814,credit,19264
1029000001,99490,credit,3199
1030000001,17348,credit,30764
1031000001,8013,debit,634
1032000001,28036,debit,15084
1033000001,77304,debit,38700
1034000001,1827,debit,9968
1035000001,5146,credit,7406
1036000001,70842,credit,21128
1037000001,42158,debit,33150
1038000001,43074,debit,13560
1039000001,42687,credit,27764
1040000001,3953,debit,22842
1041000001,88956,credit,26006
1042000001,86237,credit,7290
1043000001,3939,credit,24637
1044000001,98556,debit,43474
1045000001,80974,debit,24544
1046000001,44864,debit,41167
1047000001,53586,debit,25270
1048000001,54130,debit,41414
1049000001,80566,debit,15517
1050000001,21277,credit,34033
1051000001,32952,debit,20967
1052000001,29412,credit,46620
1053000001,3579,credit,14541
1054000001,35090,credit,41666
1055000001,76229,debit,35807
1056000001,50387,credit,3065
1057000001,36219,credit,4012
1058000001,41422,credit,26559
1059000001,90008,credit,3206
1060000001,40833,credit,37818
1061000001,65087,credit,5521
1062000001,14349,credit,19583
1063000001,38986,debit,1418
1064000001,31856,debit,33791
1065000001,80595,debit,12609
1066000001,1206,credit,17543
1067000001,44379,credit,34447
1068000001,40418,debit,46803
1069000001,87461,credit,25928
1070000001,25430,credit,7784
1071000001,362,credit,45551
1072000001,17721,credit,41531
1073000001,44500,debit,664
1074000001,76499,debit,35076
1075000001,94824,credit,31941
1076000001,16373,credit,44649
1077000001,58041,debit,34950
1078000001,33642,debit,19308
1079000001,352,debit,22897
1080000001,66040,credit,13286
